date,price_per_sqm
1900-01-01,913.9276474137755
1901-01-01,919.3107650490147
1902-01-01,925.2971717760438
1903-01-01,931.9554275644965
1904-01-01,937.377048999634
1905-01-01,942.8312120908041
1906-01-01,949.6354887298511
1907-01-01,955.8908387437405
1908-01-01,961.28511323426
1909-01-01,967.4469907812231
1910-01-01,972.9150023379856
1911-01-01,978.4141422647497
1912-01-01,984.460411368907
1913-01-01,988.9771863330429
1914-01-01,976.5811279605111
1915-01-01,965.9983191275932
1916-01-01,954.8667035343869
1917-01-01,945.7746343933837
1918-01-01,934.9975391230182
1919-01-01,939.5814935385389
1920-01-01,946.2837682152219
1921-01-01,951.7974455923135
1922-01-01,957.5572891326751
1923-01-01,962.267561198894
1924-01-01,967.6456755309196
1925-01-01,973.5321342313606
1926-01-01,978.5371365757029
1927-01-01,984.681301925278
1928-01-01,990.1530290542879
1929-01-01,995.8820333344719
1930-01-01,1001.4201890122913
1931-01-01,1008.7743799915075
1932-01-01,1014.8172206124174
1933-01-01,1020.1377028026589
1934-01-01,1026.856103343758
1935-01-01,1032.1303038118217
1936-01-01,1038.4748238800041
1937-01-01,1043.2819833288086
1938-01-01,1048.5767554183074
1939-01-01,1028.4633318970734
1940-01-01,1011.1130165483805
1941-01-01,991.6377448620125
1942-01-01,971.3008829438488
1943-01-01,950.5623642790077
1944-01-01,925.1062887561019
1945-01-01,903.4663859908759
1946-01-01,910.8277922678573
1947-01-01,923.776037411307
1948-01-01,934.2619817093546
1949-01-01,937.2004069710931
1950-01-01,947.7496370875068
1951-01-01,955.8283327356049
1952-01-01,962.9277156371409
1953-01-01,974.7788899787346
1954-01-01,988.2717561012153
1955-01-01,1001.537322912832
1956-01-01,1008.5042617222261
1957-01-01,1017.4660989445792
1958-01-01,1028.8440651777146
1959-01-01,1042.6761464962212
1960-01-01,1051.3623208079407
1961-01-01,1061.201542923177
1962-01-01,1067.7948271877344
1963-01-01,1074.1275880140988
1964-01-01,1087.820341449663
1965-01-01,1103.6250492210277
1966-01-01,1114.3997249401664
1967-01-01,1129.189027658789
1968-01-01,1141.7945507846262
1969-01-01,1150.8691166437293
1970-01-01,1163.6905673420956
1971-01-01,1180.9143482633308
1972-01-01,1192.5933546507254
1973-01-01,1210.2028129604978
1974-01-01,1212.7886895260006
1975-01-01,1227.9021145143902
1976-01-01,1240.497331725049
1977-01-01,1251.8161691196208
1978-01-01,1264.6676492912252
1979-01-01,1270.0945367268307
1980-01-01,1281.99753004305
1981-01-01,1296.1147068729906
1982-01-01,1314.4442631443899
1983-01-01,1325.7061035560405
1984-01-01,1336.026333961885
1985-01-01,1347.5639787316086
1986-01-01,1364.364791368968
1987-01-01,1379.2026185871648
1988-01-01,1391.0703054990336
1989-01-01,1406.8454382952227
1990-01-01,1528.798851166112
1991-01-01,1589.9848623371838
1992-01-01,1574.5393772639577
1993-01-01,1563.356720213113
1994-01-01,1464.1477164204575
1995-01-01,1473.2029461869695
1996-01-01,1479.013228003152
1997-01-01,1469.066073366457
1998-01-01,1434.028597764564
1999-01-01,1565.4594424071886
2000-01-01,1749.7013608218351
2001-01-01,1837.7132233944542
2002-01-01,1996.2436574199562
2003-01-01,2170.4397916813778
2004-01-01,2345.3114390038045
2005-01-01,2528.1664580514157
2006-01-01,2735.797930339372
2007-01-01,2960.1464191009995
2008-01-01,2601.523503225821
2009-01-01,2320.0606388340466
2010-01-01,2040.2373483569143
2011-01-01,2118.077
