date,price_per_sqm
1900-01-01,251.24486229094893
1901-01-01,252.72503584500149
1902-01-01,253.0661398569925
1903-01-01,253.37688913142006
1904-01-01,253.72959870053322
1905-01-01,254.85388767804469
1906-01-01,255.28517994510895
1907-01-01,256.9711333263338
1908-01-01,257.95660548288663
1909-01-01,258.41537671632756
1910-01-01,259.65345145490824
1911-01-01,260.74853371283865
1912-01-01,261.58980232266975
1913-01-01,262.7591002014345
1914-01-01,259.2050043485407
1915-01-01,256.4820898616716
1916-01-01,254.39337395795312
1917-01-01,252.21377164989664
1918-01-01,250.02190014257445
1919-01-01,252.5229039512242
1920-01-01,253.94818077469654
1921-01-01,254.7568350197298
1922-01-01,255.03501783998962
1923-01-01,256.08809615098403
1924-01-01,256.612382390624
1925-01-01,257.8636979126471
1926-01-01,259.3491674086026
1927-01-01,260.76750660738804
1928-01-01,261.37285502822897
1929-01-01,262.58196672314943
1930-01-01,263.71786599812924
1931-01-01,264.0456983458757
1932-01-01,266.0642686056631
1933-01-01,267.97769038378203
1934-01-01,269.096831871523
1935-01-01,269.8838940780864
1936-01-01,270.3602663947986
1937-01-01,271.8009044184461
1938-01-01,272.88353959353117
1939-01-01,265.7039215538644
1940-01-01,261.58030775179594
1941-01-01,255.35826640853458
1942-01-01,249.84631190921283
1943-01-01,244.38269324028747
1944-01-01,239.7134663787798
1945-01-01,235.7246979229383
1946-01-01,237.42183227668482
1947-01-01,238.95874802753437
1948-01-01,242.16423322895014
1949-01-01,243.56419111819253
1950-01-01,249.2953071532627
1951-01-01,253.47146575614676
1952-01-01,254.29721671422368
1953-01-01,259.19088799913266
1954-01-01,264.16058026535114
1955-01-01,268.05155524089656
1956-01-01,272.6583844298837
1957-01-01,272.442558968167
1958-01-01,277.25480719351845
1959-01-01,280.0489139959623
1960-01-01,284.09101613316676
1961-01-01,286.8527088262682
1962-01-01,291.25611297133844
1963-01-01,293.9586709359335
1964-01-01,296.10587492866256
1965-01-01,301.78044923446026
1966-01-01,307.04041615630535
1967-01-01,311.78878977471715
1968-01-01,316.9692653633112
1969-01-01,320.4222323530669
1970-01-01,325.19238432888454
1971-01-01,330.07466113699667
1972-01-01,339.5471379425667
1973-01-01,342.90708170549726
1974-01-01,347.4782053557348
1975-01-01,351.02557448367173
1976-01-01,360.37138331805545
1977-01-01,362.3638985896184
1978-01-01,370.32708621334467
1979-01-01,377.21727303073556
1980-01-01,384.28398898822815
1981-01-01,390.9346756064561
1982-01-01,397.4002145298823
1983-01-01,406.8307674831647
1984-01-01,413.49930675962725
1985-01-01,422.53245042526925
1986-01-01,428.24392464054444
1987-01-01,433.6753566842764
1988-01-01,443.70064419871807
1989-01-01,451.40622339165634
1990-01-01,452.5360608869421
1991-01-01,453.686324719124
1992-01-01,442.5692038320703
1993-01-01,447.20781848029407
1994-01-01,451.59459787132596
1995-01-01,452.19459198056035
1996-01-01,459.3313885428156
1997-01-01,476.83795535717394
1998-01-01,490.4845709805562
1999-01-01,496.15718001267993
2000-01-01,538.2283264521626
2001-01-01,600.8878236885586
2002-01-01,681.9696483021379
2003-01-01,757.5880878720027
2004-01-01,837.1187914063713
2005-01-01,936.5358440671005
2006-01-01,1056.6970688939964
2007-01-01,1194.0750201480955
2008-01-01,1013.3443780177436
2009-01-01,898.2877458464504
2010-01-01,796.0910469246687
2011-01-01,831.6631630080706
